env,arm,gt_class,gt_range,det_range,signed_err,abs_err,source
unknown,fused,tv,2.49,2.761,0.271,0.271,fused
unknown,fused,chair,1.66,2.141,0.481,0.481,fused
unknown,fused,laptop,1.61,1.756,0.146,0.146,fused
unknown,fused,keyboard,1.51,1.597,0.087,0.087,fused
unknown,fused,tv,2.49,2.759,0.269,0.269,fused
unknown,fused,chair,1.66,2.141,0.481,0.481,fused
unknown,fused,laptop,1.61,1.755,0.145,0.145,fused
unknown,fused,keyboard,1.51,1.595,0.085,0.085,fused
unknown,fused,tv,2.49,2.759,0.269,0.269,fused
unknown,fused,laptop,1.61,1.731,0.121,0.121,fused
unknown,fused,chair,1.66,2.141,0.481,0.481,fused
unknown,fused,keyboard,1.51,1.594,0.084,0.084,fused
unknown,fused,chair,1.66,2.143,0.483,0.483,fused
unknown,fused,tv,2.49,2.759,0.269,0.269,fused
unknown,fused,laptop,1.61,1.751,0.141,0.141,fused
unknown,fused,keyboard,1.51,1.594,0.084,0.084,fused
unknown,fused,tv,2.49,2.758,0.268,0.268,fused
unknown,fused,chair,1.66,2.141,0.481,0.481,fused
unknown,fused,laptop,1.61,1.748,0.138,0.138,fused
unknown,fused,keyboard,1.51,1.594,0.084,0.084,fused
