env,arm,gt_class,gt_range,det_range,signed_err,abs_err,source
unknown,fused,tv,2.49,2.758,0.268,0.268,fused
unknown,fused,chair,1.66,2.14,0.48,0.48,fused
unknown,fused,laptop,1.61,1.145,-0.465,0.465,fused
unknown,fused,tv,2.49,2.757,0.267,0.267,fused
unknown,fused,chair,1.66,2.143,0.483,0.483,fused
unknown,fused,laptop,1.61,1.148,-0.462,0.462,fused
unknown,fused,tv,2.49,2.759,0.269,0.269,fused
unknown,fused,chair,1.66,2.145,0.485,0.485,fused
unknown,fused,laptop,1.61,1.144,-0.466,0.466,fused
unknown,fused,tv,2.49,2.757,0.267,0.267,fused
unknown,fused,chair,1.66,2.145,0.485,0.485,fused
unknown,fused,laptop,1.61,1.731,0.121,0.121,fused
unknown,fused,tv,2.49,2.756,0.266,0.266,fused
unknown,fused,chair,1.66,2.145,0.485,0.485,fused
unknown,fused,laptop,1.61,1.147,-0.463,0.463,fused
